method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
second,KITTIDataset,"54,32,6,38,9,17,36,22,13,4,51,16,23,1,58,34,61,48,11,7,41,21",True,False,80,75.74508827195123,40.8736568480958,53.88738980042888
second,KITTIDataset,"16,2,19,9,34,20,63,7,38,50,18,28,36,10,48,1,4,29,32,35,25,31",True,False,80,75.55857860426315,36.8433899866324,54.62037821267708
second,KITTIDataset,"44,19,25,52,4,7,5,20,46,27,58,53,28,47,56,1,3,55,59,36,42,29",True,False,80,64.2144577219436,29.050382337177034,38.07137108126314
second,KITTIDataset,"17,50,43,60,21,53,24,9,8,22,45,27,61,3,7,29,54,62,44,32,28,6",True,False,80,69.81591646251647,29.59592347436836,37.23281798373406
second,KITTIDataset,"8,60,26,55,42,23,27,44,18,63,49,25,54,39,47,33,3,30,51,37,43,38",True,False,80,62.72364674846143,21.52213775186364,29.178030593270876
second,KITTIDataset,"35,46,61,41,16,24,28,37,6,57,8,18,5,11,1,56,49,47,54,59,38,2",True,False,80,70.80976172664181,36.324294602666065,40.979414986339165
second,KITTIDataset,"28,45,13,47,54,20,58,3,9,18,5,43,36,37,49,38,29,1,53,32,22,61",True,False,80,69.84674408320369,32.193599762341854,41.89870803384813
second,KITTIDataset,"4,27,14,13,62,61,24,20,1,21,56,50,39,54,33,52,49,42,48,35,57,32",True,False,80,65.91544653883453,32.45635995150638,35.221056292614435
second,KITTIDataset,"3,37,34,20,44,38,36,15,31,51,4,13,30,49,7,27,0,22,14,33,43,53",True,False,80,72.26414674579831,31.74420631278011,47.491806931480724
second,KITTIDataset,"63,59,19,29,25,33,37,21,13,14,36,24,20,23,10,43,39,35,49,3,8,31",True,False,80,75.91038413311271,39.31603053338941,53.79758992083883
second,KITTIDataset,"40,23,1,13,30,11,12,20,63,52,28,15,29,55,7,61,49,60,32,10,19,51,21,5",True,False,80,72.90053686919002,35.48255999914676,48.92663381788587
second,KITTIDataset,"29,4,59,61,60,40,20,44,26,14,30,19,22,33,31,46,28,16,47,2,24,32,52,17",True,False,80,72.53986017986531,24.08926305571885,49.50027805644158
second,KITTIDataset,"51,32,37,60,6,17,21,55,56,23,49,0,25,59,43,36,3,41,5,33,16,53,42,48",True,False,80,63.348321152540954,26.35528595388416,28.964721887459987
second,KITTIDataset,"47,19,56,2,35,26,53,15,54,29,36,27,21,13,23,49,43,60,31,50,44,17,10,57",True,False,80,63.93009715145887,30.810086879980553,31.54010768177206
second,KITTIDataset,"20,21,62,18,58,47,4,59,8,30,5,44,1,38,57,13,2,11,50,9,26,27,49,42",True,False,80,74.92492296551796,39.00477426818877,47.07920450356166
second,KITTIDataset,"35,54,63,28,60,50,7,3,52,30,46,27,37,14,17,1,2,4,40,36,43,45,53,24",True,False,80,63.62678220334351,26.79167113559091,36.439161335581126
second,KITTIDataset,"54,9,3,43,57,26,45,46,19,34,12,17,62,8,35,2,29,48,4,51,40,55,49,31",True,False,80,63.92985212762895,30.070529504793164,35.63290722050596
second,KITTIDataset,"9,8,10,35,11,44,20,50,37,17,56,40,42,1,63,54,30,43,16,26,45,39,22,31",True,False,80,65.89823799656187,23.85051352091408,31.77362597939043
second,KITTIDataset,"36,7,31,47,30,25,46,52,62,24,58,38,54,56,63,61,1,34,51,45,15,59,32,20",True,False,80,66.70735470456466,25.51800935439236,33.143504214367994
second,KITTIDataset,"21,5,47,18,59,0,28,36,35,14,9,7,55,51,16,19,37,40,54,13,20,30,63,22",True,False,80,69.28574319309234,34.86523685039249,44.28229876190435
second,KITTIDataset,"11,58,2,40,28,19,36,25,33,9,35,49,56,37,51,6,27,30,10,34,22,62,29,61,38,23",True,False,80,68.72835995997907,22.20847626905272,37.432651759772114
second,KITTIDataset,"5,49,20,6,25,62,35,59,19,24,58,31,42,9,43,36,7,29,38,34,51,11,52,63,10,40",True,False,80,71.65708590761571,30.158357151614197,45.05345724625388
second,KITTIDataset,"48,11,34,21,51,45,43,8,33,28,55,15,10,2,49,57,27,47,13,4,58,25,63,30,32,54",True,False,80,62.32496592853464,26.722895242174022,29.35837246372103
second,KITTIDataset,"0,57,33,20,13,2,10,54,48,63,34,1,49,41,31,17,43,27,4,9,3,35,12,60,23,46",True,False,80,72.87236112140238,33.9364514833822,41.34452217962904
second,KITTIDataset,"54,49,43,60,15,59,63,27,31,40,35,30,41,4,53,3,0,50,33,6,39,34,10,51,46,58",True,False,80,60.18706470706463,14.22942200901639,24.793850180064815
second,KITTIDataset,"31,20,11,18,62,24,14,46,44,29,35,7,40,36,55,9,30,53,63,16,0,33,26,25,15,60",True,False,80,72.94615639273752,40.40665723033083,49.948092664615835
second,KITTIDataset,"9,47,7,21,33,29,25,38,53,14,1,32,43,50,11,49,46,6,23,51,3,63,35,12,8,56",True,False,80,65.94353331632863,27.781970444709657,39.74688916087809
second,KITTIDataset,"2,35,15,45,11,16,51,63,8,6,23,30,7,37,3,1,17,4,0,49,60,18,33,42,9,25",True,False,80,76.48426244353458,43.70330820922684,58.21114345329615
second,KITTIDataset,"25,36,18,9,55,46,29,39,62,45,47,56,41,23,48,26,54,40,16,7,8,35,21,32,3,34",True,False,80,50.06998647582167,18.375304596050626,20.04632873909291
second,KITTIDataset,"48,58,0,26,2,28,59,5,41,22,53,45,47,4,1,63,46,56,34,50,11,52,3,29,6,16",True,False,80,62.70083662084761,26.550699817302124,32.89841983606739
second,KITTIDataset,"43,45,48,8,22,47,50,23,14,52,9,54,36,4,55,63,0,1,34,12,3,39,25,42,16,60,62,33",True,False,80,63.85506471831266,29.533131099794964,33.417400310151315
