method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pv_rcnn_8369,KITTIDataset,"51,7",True,False,80,0.9661,0.9662,0.9218,0.9278,0.7071,0.7522,97.7322,93.9391,91.8892,91.6601,82.7108,81.73,66.205,60.8366,57.169,59.7728,51.712,47.1612,94.9125,81.9208,78.6394,88.7274,69.5602,65.1329
pv_rcnn_8369,KITTIDataset,"55,32",True,False,80,0.9618,0.9618,0.9184,0.9238,0.7042,0.7471,96.0666,93.7723,91.6919,91.3826,82.4975,80.1066,66.1122,60.1823,56.5601,60.9322,53.6125,48.9556,94.0752,74.6609,71.3091,87.6895,64.3049,60.0149
pv_rcnn_8369,KITTIDataset,"2,9,46,5",True,False,80,0.9678,0.9683,0.9239,0.9295,0.7116,0.7546,98.0655,94.1484,91.9449,91.8947,82.861,82.248,67.1088,61.7435,57.6389,61.0099,52.8845,47.4933,93.9738,77.4018,74.6164,86.2036,66.9405,63.4586
pv_rcnn_8369,KITTIDataset,"24,8,58,23",True,False,80,0.9674,0.9674,0.9268,0.9327,0.7142,0.7585,98.2667,94.1604,91.9773,92.1646,82.9696,82.4225,67.4852,62.0821,58.4204,62.6007,54.3426,49.5833,94.1103,79.3804,76.1092,88.4059,68.7156,64.3068
pv_rcnn_8369,KITTIDataset,"3,5,33,38",True,False,80,0.9674,0.9677,0.927,0.9326,0.711,0.7553,97.9532,94.2286,92.0203,91.8717,82.8821,82.2571,66.7364,60.8973,57.0902,61.9243,53.7059,49.1824,96.3788,80.2482,76.9192,87.2949,68.7874,65.321
pv_rcnn_8369,KITTIDataset,"25,53,43,55",True,False,80,0.9541,0.9542,0.9088,0.9137,0.6857,0.7306,95.8077,91.5946,91.1973,89.3664,80.074,79.3976,65.9675,58.6108,54.5248,59.1748,50.5728,46.2197,89.1728,69.5496,66.7889,85.7467,61.7263,57.7676
pv_rcnn_8369,KITTIDataset,"8,34,48,1",True,False,80,0.9662,0.9667,0.9231,0.9287,0.7074,0.7517,97.891,94.0933,91.9238,91.6932,82.7247,81.9723,65.4216,60.262,56.402,60.4236,52.841,47.9593,94.1617,79.643,76.2213,87.6996,68.4135,63.8392
pv_rcnn_8369,KITTIDataset,"20,57,48,23",True,False,80,0.9624,0.9625,0.9174,0.9227,0.7029,0.7467,97.732,93.8424,91.7717,91.4386,82.6381,81.6191,65.9778,60.8066,56.8742,60.399,52.9311,47.7598,91.2836,74.1469,71.1233,85.9078,62.4053,59.3826
pv_rcnn_8369,KITTIDataset,"28,48,34,37",True,False,80,0.9651,0.9655,0.9195,0.9257,0.7038,0.747,97.6943,94.0645,91.8914,91.2786,82.6275,81.723,64.1145,59.093,55.1947,59.2628,51.456,46.4878,94.3572,79.4667,75.1801,88.4155,68.3108,63.961
pv_rcnn_8369,KITTIDataset,"48,57,10,18",True,False,80,0.9629,0.9629,0.9179,0.9236,0.7035,0.7471,97.7333,93.9368,91.798,91.5111,82.7085,81.7013,65.8292,60.4893,56.664,60.5699,53.0464,47.8393,91.1887,74.0761,71.0864,85.8544,62.175,59.2955
pv_rcnn_8369,KITTIDataset,"45,48,46,10",True,False,80,0.9605,0.9609,0.9094,0.915,0.6902,0.7356,97.636,91.7881,91.3563,90.8578,81.7716,79.5218,61.6091,56.1487,53.074,53.2817,45.6137,41.4435,88.0491,73.9707,70.8859,81.9702,63.2124,59.0947
pv_rcnn_8369,KITTIDataset,"11,28,24,3",True,False,80,0.9684,0.9686,0.9278,0.9339,0.7136,0.7587,98.2427,94.2631,93.5943,92.1559,83.001,82.456,67.1017,61.7995,58.2421,62.2403,54.2987,49.6837,97.0082,80.304,77.2172,88.5953,69.2266,65.8307
pv_rcnn_8369,KITTIDataset,"53,61,34,1",True,False,80,0.9639,0.9643,0.9226,0.9277,0.7036,0.7481,95.8982,93.6506,91.775,91.4732,82.4527,80.2197,67.2659,60.2749,56.5156,61.849,53.7914,49.1465,93.4489,77.3875,73.1255,90.1249,69.2518,64.869
pv_rcnn_8369,KITTIDataset,"38,25,11,10",True,False,80,0.9677,0.9678,0.9271,0.9329,0.7137,0.7573,97.9181,94.1978,91.9981,91.9973,82.9762,82.4086,67.5353,61.4877,57.5338,62.084,53.5944,49.13,96.499,80.2187,76.976,87.4551,68.402,65.1345
pv_rcnn_8369,KITTIDataset,"9,45,63,44",True,False,80,0.965,0.9653,0.9173,0.9233,0.6992,0.742,96.1216,93.9247,91.7534,91.3631,82.404,80.042,64.7121,57.9942,54.8493,55.3636,47.5619,43.4546,90.8834,75.5438,71.547,85.306,64.4866,61.2038
pv_rcnn_8369,KITTIDataset,"38,57,20,37",True,False,80,0.9631,0.9633,0.9178,0.9237,0.7016,0.7454,97.9802,93.9951,91.826,91.6439,82.8763,81.9208,65.6795,60.054,56.0986,57.8366,50.4021,46.2252,90.3866,73.3046,70.2118,83.1146,60.5246,57.6173
pv_rcnn_8369,KITTIDataset,"27,13,18,34",True,False,80,0.9681,0.9686,0.9278,0.9337,0.7133,0.7558,98.1715,94.2008,92.0241,91.9335,82.9028,82.3678,66.3618,61.0165,57.2196,61.6761,53.7178,49.2143,96.5056,80.2081,76.9483,89.6677,69.2386,64.8699
pv_rcnn_8369,KITTIDataset,None,True,False,80,0.9686,0.9687,0.9288,0.9344,0.7175,0.7599,98.2458,94.2791,92.0668,92.112,84.3576,82.5153,67.849,62.3083,58.151,62.9324,55.182,50.1483,96.9986,80.5722,77.4695,88.9867,69.7208,66.4186
pv_rcnn_8369,KITTIDataset,None,True,False,80,0.9686,0.9687,0.9288,0.9344,0.7175,0.7599,98.2458,94.2791,92.0668,92.112,84.3576,82.5153,67.849,62.3083,58.151,62.9324,55.182,50.1483,96.9986,80.5722,77.4695,88.9867,69.7208,66.4186
pv_rcnn_8369,KITTIDataset,None,True,False,80,0.9686,0.9687,0.9288,0.9344,0.7175,0.7599,98.2458,94.2791,92.0668,92.112,84.3576,82.5153,67.849,62.3083,58.151,62.9324,55.182,50.1483,96.9986,80.5722,77.4695,88.9867,69.7208,66.4186
pv_rcnn_8369,KITTIDataset,None,True,False,80,0.9686,0.9687,0.9288,0.9344,0.7175,0.7599,98.2458,94.2791,92.0668,92.112,84.3576,82.5153,67.849,62.3083,58.151,62.9324,55.182,50.1483,96.9986,80.5722,77.4695,88.9867,69.7208,66.4186
