method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pointpillar_7728,KITTIDataset,"62,52,7,50,45,58,48,56,5,4,31,35,46,55,10,21,63,41,37,61,28,1",True,False,80,65.09480878467632,36.44497338200742,43.633390115799536
pointpillar_7728,KITTIDataset,"62,22,15,40,17,58,63,25,3,30,33,4,38,24,42,8,0,11,49,28,16,47",True,False,80,74.31227798788505,41.070312009605416,55.31132508653498
pointpillar_7728,KITTIDataset,"53,45,16,39,31,61,37,14,1,51,22,58,2,36,12,32,13,27,42,5,43,49",True,False,80,68.92807370413979,36.99127206682291,45.20713905737361
pointpillar_7728,KITTIDataset,"14,42,22,11,34,21,49,30,52,9,46,43,54,45,18,53,61,32,28,23,31,7",True,False,80,53.956850660850364,30.755048067058876,31.848361699375538
pointpillar_7728,KITTIDataset,"62,42,35,3,17,29,58,12,45,18,14,41,11,28,20,43,16,2,26,9,24,57",True,False,80,71.16777971936818,36.43083259952077,42.27077232050365
pointpillar_7728,KITTIDataset,"43,42,0,16,61,46,28,23,51,10,15,38,59,40,56,8,27,50,49,9,2,55,48,19",True,False,80,53.743719456382934,25.057238815722936,29.71289115381513
pointpillar_7728,KITTIDataset,"41,33,44,31,63,47,38,34,10,9,3,59,17,5,37,36,46,61,62,0,53,7,25,16",True,False,80,68.265343207209,35.3189856404647,44.629986922628035
pointpillar_7728,KITTIDataset,"31,36,50,51,21,12,45,25,41,5,1,35,30,0,60,46,57,63,52,28,37,34,42,9",True,False,80,58.421255031933114,24.08864215121803,34.70159574903086
pointpillar_7728,KITTIDataset,"24,16,18,60,51,15,41,0,12,63,8,45,14,38,20,19,55,28,48,27,31,26,47,57",True,False,80,68.42318336511002,34.315905672049865,48.94505782214501
pointpillar_7728,KITTIDataset,"12,14,18,35,61,50,54,22,13,11,38,19,32,49,5,60,58,59,43,1,23,55,46,48",True,False,80,58.599305339194686,31.718200730195413,37.92771048772474
pointpillar_7728,KITTIDataset,"31,62,46,25,0,32,51,42,59,21,37,48,55,22,6,8,24,50,53,1,20,58,56,29",True,False,80,63.499987262490244,34.3820360695265,42.60113980337251
pointpillar_7728,KITTIDataset,"14,49,19,44,48,50,54,20,31,52,0,39,60,16,2,6,57,30,29,4,22,1,10,45",True,False,80,63.47130772537524,32.76684299136258,38.15078745307978
pointpillar_7728,KITTIDataset,"30,2,50,12,38,25,46,24,15,33,3,4,41,43,37,60,9,18,51,53,52,0,5,61",True,False,80,56.73461866378629,31.150538446741493,45.74534333873359
pointpillar_7728,KITTIDataset,"47,8,29,35,51,11,34,17,1,60,63,53,59,16,57,31,13,49,0,5,21,32,40,39",True,False,80,69.08198634992172,39.81304442571177,48.21655206242934
pointpillar_7728,KITTIDataset,"4,6,60,54,63,43,35,13,29,50,8,2,40,28,7,34,17,38,5,12,53,49,20,32",True,False,80,62.62340453813927,35.65316885402099,43.33554659980405
pointpillar_7728,KITTIDataset,"42,57,11,3,8,14,37,22,26,34,63,13,6,25,5,1,32,59,47,41,56,24,35,44,51,27",True,False,80,68.15286826177858,36.32154939586837,40.97137973195784
pointpillar_7728,KITTIDataset,"54,14,49,22,10,58,46,45,29,33,40,30,39,15,8,17,18,28,41,62,47,4,36,19,35,57",True,False,80,61.5780022997352,24.35910810061031,27.910355975872182
pointpillar_7728,KITTIDataset,"32,6,19,28,17,18,57,7,20,61,26,30,50,29,46,40,15,51,12,1,60,47,22,48,21,4",True,False,80,63.845551502403474,27.207977120084927,43.05935823285078
pointpillar_7728,KITTIDataset,"14,28,33,23,21,5,19,31,39,58,51,37,9,63,49,16,0,43,55,10,25,45,38,17,36,59",True,False,80,65.85692440697323,31.351959097817687,39.28179262353334
pointpillar_7728,KITTIDataset,"0,24,13,46,52,2,29,19,31,43,36,50,49,38,32,55,25,39,53,33,44,57,47,16,54,26",True,False,80,46.48618189682552,23.16824857212373,21.042226348304837
pointpillar_7728,KITTIDataset,"47,19,6,10,56,32,28,29,44,62,50,34,35,4,9,53,25,37,22,11,55,52,57,49,17,16",True,False,80,57.374577858326916,32.85470848899096,33.20284715505489
pointpillar_7728,KITTIDataset,"3,34,8,22,14,63,6,9,44,31,58,35,37,62,51,19,59,40,33,55,13,25,24,0,53,42",True,False,80,68.27365907499929,39.04974098223119,48.613751731821324
pointpillar_7728,KITTIDataset,"23,47,1,41,33,12,56,46,34,51,35,6,9,36,10,58,25,57,0,63,53,5,59,52,32,30",True,False,80,54.56196402198653,31.316378633113466,29.411364448442313
pointpillar_7728,KITTIDataset,"44,19,25,41,33,8,63,11,2,48,40,32,28,20,50,16,21,15,13,53,62,57,49,30,6,47",True,False,80,59.44885632701482,27.845467359810556,39.6602273166971
pointpillar_7728,KITTIDataset,"58,37,23,17,51,30,31,13,18,11,44,61,62,55,60,47,3,16,41,42,59,36,4,57,20,2",True,False,80,68.89658131638187,37.93465368588022,47.296151621669125
pointpillar_7728,KITTIDataset,"20,14,33,59,57,25,9,35,47,36,23,24,7,56,16,39,43,2,52,49,48,15,27,40,44,45,28,29",True,False,80,56.03756830464176,22.071888808737032,25.09787724800761
pointpillar_7728,KITTIDataset,"57,42,35,44,48,46,27,33,5,23,29,3,13,15,34,24,1,14,61,32,21,43,51,11,18,52,2,26",True,False,80,62.80048397906036,25.868822094134625,33.04013811786258
pointpillar_7728,KITTIDataset,"24,16,60,25,41,40,14,56,7,39,42,55,50,31,58,20,22,26,61,11,48,13,29,8,36,63,38,2",True,False,80,55.05389796499088,21.37389939626931,26.06047388373146
pointpillar_7728,KITTIDataset,"39,23,6,41,2,12,25,1,38,32,11,35,27,28,13,20,37,50,22,36,45,51,33,58,46,19,62,60",True,False,80,61.264830788034395,21.606157961063666,33.59499625016533
pointpillar_7728,KITTIDataset,"10,54,30,15,39,63,56,2,51,59,55,3,27,47,57,52,11,12,50,26,40,62,9,61,46,34,29,24",True,False,80,51.63006041802956,28.168794454212726,31.57697332798094
pointpillar_7728,KITTIDataset,"51,41,34,21,47,40,8,20,55,14,26,24,16,39,6,33,48,3,23,2,35,22,45,0,5,50,58,1",True,False,80,62.38576826490363,24.063722275391086,36.12065881495729
pointpillar_7728,KITTIDataset,"21,26,53,33,37,15,60,11,16,23,29,42,12,49,30,36,27,32,9,50,25,2,8,45,54,61,57,44",True,False,80,59.17309455128804,30.129879283015544,34.88941088012334
pointpillar_7728,KITTIDataset,"9,3,55,0,53,17,14,10,12,36,39,56,43,59,20,7,27,15,11,18,19,1,28,58,4,40,26,37",True,False,80,65.59072123048622,37.449738061075266,44.219385784370914
pointpillar_7728,KITTIDataset,"19,15,43,49,27,45,60,54,23,4,21,16,0,41,58,57,51,33,11,13,30,35,42,36,56,26,29,52",True,False,80,58.630541357083764,27.969724757854266,26.503185390899077
pointpillar_7728,KITTIDataset,"3,11,21,6,62,47,34,5,39,55,13,26,29,9,31,30,40,49,27,8,18,23,28,17,45,32,10,12",True,False,80,65.93134692592766,27.369486668040537,43.269051807176254
pointpillar_7728,KITTIDataset,"44,11,46,21,29,12,13,7,17,63,53,37,33,6,22,14,2,15,8,48,43,55,41,18,1,47,61,58,31,23",True,False,80,62.43478060116905,31.424754558553193,39.81843712763736
pointpillar_7728,KITTIDataset,"1,44,63,10,47,55,22,11,5,20,6,25,46,60,21,18,27,39,0,8,30,56,26,28,53,7,43,51,19,15",True,False,80,61.18406318355765,31.154960427405342,37.75269101125545
pointpillar_7728,KITTIDataset,"42,41,18,40,13,20,0,46,31,27,36,54,3,26,28,6,24,19,29,16,8,47,5,33,35,22,1,38,43,32",True,False,80,59.3200606353562,19.799028794932603,27.252241807799383
pointpillar_7728,KITTIDataset,"23,32,30,50,44,22,42,55,10,54,63,21,48,61,53,60,26,59,1,8,28,38,58,27,35,12,13,24,62,20",True,False,80,55.29977027806146,31.817888279946377,37.4187627060475
pointpillar_7728,KITTIDataset,"36,18,16,26,5,56,31,42,62,47,41,17,34,27,53,33,8,12,32,61,59,14,54,24,43,52,30,21,29,7",True,False,80,52.64712372291109,23.34897161089923,23.857786866568194
pointpillar_7728,KITTIDataset,"57,62,51,3,23,42,9,25,63,0,41,54,32,5,16,11,1,24,29,46,4,8,21,33,53,61,40,19,60,15",True,False,80,62.14382862150277,37.590799271175,40.69696668453143
pointpillar_7728,KITTIDataset,"39,49,2,3,61,13,37,31,32,62,41,57,46,55,12,59,43,63,14,17,19,6,34,56,38,29,42,23,11,52",True,False,80,57.17898024109679,26.705895800443052,22.9736103241236
pointpillar_7728,KITTIDataset,"46,48,34,21,33,26,13,38,10,29,52,58,30,55,8,22,43,53,0,28,31,57,17,62,41,4,49,56,25,9",True,False,80,55.54011624293379,28.14921028737941,29.898819696078725
pointpillar_7728,KITTIDataset,"45,20,7,32,16,44,34,46,36,35,33,30,19,50,41,13,61,37,51,0,21,29,60,17,42,27,6,54,43,59",True,False,80,44.528639114416876,14.553709199828086,16.72456131099905
pointpillar_7728,KITTIDataset,"12,27,24,5,21,63,38,50,59,33,8,16,55,17,56,4,62,31,61,11,1,45,22,54,19,29,37,18,52,25",True,False,80,58.807257474123375,36.20939116550998,41.724741947502004
pointpillar_7728,KITTIDataset,"63,29,52,37,23,34,28,51,32,26,15,49,0,40,33,24,61,58,9,22,11,6,10,25,17,1,48,53,27,21,46,47",True,False,80,47.4992720005456,14.516352955850945,32.27055221898906
pointpillar_7728,KITTIDataset,"60,44,19,13,26,20,58,37,61,5,49,23,31,59,53,7,18,27,29,55,2,1,35,57,39,46,50,17,42,9,12,22",True,False,80,65.83460357047127,35.78639241675429,40.46987480100512
pointpillar_7728,KITTIDataset,"35,22,56,54,39,42,46,14,34,13,38,4,45,63,36,43,10,58,28,26,59,23,20,6,37,62,19,50,49,40,2,60",True,False,80,51.14746674032674,12.74224373245213,18.68004288748592
pointpillar_7728,KITTIDataset,"39,46,59,48,19,42,37,20,55,0,22,9,1,8,56,26,44,50,7,30,60,2,18,6,28,32,52,25,23,5,36,61",True,False,80,63.52749065484061,34.526044301224815,38.851194323791304
pointpillar_7728,KITTIDataset,"62,45,59,40,41,52,5,42,32,35,55,24,26,15,50,37,61,33,21,23,57,17,18,10,43,2,48,28,4,22,56,58",True,False,80,54.38054271207119,22.37533066952509,21.00995186388114
pointpillar_7728,KITTIDataset,"8,15,38,32,43,7,51,2,48,50,21,49,56,13,30,11,6,1,37,22,33,25,42,47,57,35,17,27,62,52,45,16",True,False,80,45.5190862327593,17.876505444406636,21.03417172284551
pointpillar_7728,KITTIDataset,"54,4,60,24,14,46,20,16,1,41,11,2,6,49,13,32,61,43,9,28,3,55,53,42,59,36,27,39,58,62,47,35",True,False,80,50.52964635861584,24.548453738475207,25.831199263435405
pointpillar_7728,KITTIDataset,"11,47,2,29,51,0,55,31,59,45,58,15,7,30,18,26,21,16,13,33,57,42,4,62,49,27,10,36,54,44,24,41",True,False,80,59.34362533954346,25.936962676846164,32.93115544977365
pointpillar_7728,KITTIDataset,"46,26,15,47,51,6,59,5,16,21,40,1,57,52,17,20,7,35,27,0,2,11,38,49,44,18,32,19,33,10,58,4",True,False,80,63.32336027299314,28.280750891245397,42.318308971238565
pointpillar_7728,KITTIDataset,"37,47,51,49,14,19,36,20,28,59,60,27,1,48,0,40,34,61,42,52,62,45,15,44,41,3,57,35,53,24,30,9",True,False,80,46.41481886358068,15.844306398983498,23.109367965452314
